"hist1";"hist2";"hist3";"hist4";"hist5";"hist6";"hist7";"hist8";"hist9";"hist10";"histn";"geo1";"geo2";"geo3";"geo4";"geo5";"geo6";"geo7";"geo8";"geo9";"geo10";"geon";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"eco7";"eco8";"eco9";"eco10";"econ";"litt1";"litt2";"litt3";"litt4";"litt5";"litt6";"litt7";"litt8";"litt9";"litt10";"littn";"mat1";"mat2";"mat3";"mat4";"mat5";"mat6";"mat7";"mat8";"mat9";"mat10";"matn";"sport1";"sport2";"sport3";"sport4";"sport5";"sport6";"sport7";"sport8";"sport9";"sport10";"sportn";"sexe";"annee";"bac"
"1";"Le griffon";"France";"Rome";"Napoléon";"France";"Neil Armstrong";"1000 ans";"Louis XIV";"Nanterre";"Océan et Japet";6;"Cuba";"Les maoris";"Le pôle sud";"La Russie";"L'Allemagne";"La Russie";12;"Le Danube";"Le Kenya";6;5;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";4;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Venise";"La lettre à Élise";"Un compositeur d’opéra";5;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse d’un objet dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;2;"Italie";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les centraux";16;4;1896;75;4;"Une femme";"L1";"Bac ES"
"2";"Le sphinx";"Angleterre";"Bruxelles";"Louis XVI";"France";"Yuri Gagarine";"750 ans";"Charlemagne";"Nanterre";"Coéos et Théia";5;"Cuba";"Les mahorais";"Le pôle nord";"La Turquie";"L'Espagne";"L'Allemagne";24;"Le Rhin";"Le Monténégro";6;5;"Taux";"Les ressources sont limités";"Adam Smith";"La Crise des subprimes";"Une quantité";"L’intérêt personnel et les prix";"La hausse du coût du transport";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Pilgrim";"Diderot";"Eponine";"Florence";"Fidelio";"Un compositeur d’opéra";5;"exponnentiel";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fusion d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";7;6;"Brésil";"Le surf";"Le volley-ball";"200 points";"Bleue";"Les attaquants";24;5;1903;82;5;"Une femme";"L1";"Bac S"
"3";"Le griffon";"Chine";"Bruxelles";"Napoléon II";"Allemagne";"Buzz Aldrin";"500 ans";"Henri IV";"La Sorbonne";"Cronos et Rhéa";4;"Cuba";"Les aborigènes";"Le pôle nord";"La Turquie";"L'Allemagne";"La Russie";12;"La Volga";"Le Monténégro";4;3;"Taxe";"Les ressources sont limités";"David Ricardo";"Le choc pétrolier";"Une quantité";"Les entreprises";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Pilgrim";"Diderot";"Cosette";"Venise";"Don Giovanni";"Un compositeur d’opéra";3;"exponentielle";NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"Italie";"Le surf";"Le volley-ball";"200 points";"Orange";"Les défenseurs";12;5;1940;82;3;"Un homme";"L1";"Bac ES"
"4";"Le griffon";"Allemagne";"Rome";"Louis XVI";"France";"Neil Armstrong";"750 ans";"Louis XIV";"Nanterre";"Cronos et Rhéa";4;"Panama";"Les néo-zélandais";"L'équateur";"L'Ukraine";"L'Espagne";"La Chine";12;"Le Rhin";"Le Kenya";4;1;"Taxe";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";4;"Le renard";"Le Petit Poucet";"Une photo";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Florence";"La lettre à Élise";"Un couturier";3;"exponnentiel";"Le mur du son est mesuré à Mach 1";"La vitesse de rotation de la terre";"Albert Einstein";"La fission d’atomes d’uranium";"Laplace et Galton";"L'ensemble des réels";"8 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";6;2;"Italie";"Le surf";"Le volley-ball";"600 points";"Orange";"Le goal";12;4;1896;82;1;"Une femme";"L1";"Bac ES"
"5";"Le sphinx";"Allemagne";"Rome";"Napoléon II";"Angleterre";"Neil Armstrong";"1000 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";5;"Cuba";"Les aborigènes";"Le pôle sud";"La Grèce";"L'Espagne";"L'Allemagne";6;"La Loire";"Le Sri-Lanka";6;4;"Taxe";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"Les entreprises";"La hausse des taxes";"Le coût total des dépenses faites pendant la durée des études";"Redistributif";NA;5;"Le renard";"Le chat botté";"Une toupie";"Jean-Baptiste";"Bucéphale";"Voltaire";"Cosette";"Naples";"Don Giovanni";NA;5;"exponentielle";"La découvert du photon";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";NA;"L'ensemble des complexes";"5 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";NA;3;"Brésil";"La pétanque";"Le tennis";"600 points";"Bleue";"Les centraux";16;6;1903;88;4;"Une femme";"L1";"Bac ES"
"6";"Le sphinx";"Allemagne";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Henri IV";"Nanterre";"Cronos et Rhéa";10;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";6;7;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Une quantité";"Les entreprises";"La hausse des marges des producteurs";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";6;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"Don Giovanni";NA;8;"exponentielle";"On ne peut pas dépasser la vitesse de la lumière";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"6 ème";"Étudier la fonction √x sur ]-∞ à 0]";NA;4;"Italie";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les attaquants";16;5;1896;NA;6;"Un homme";"L2";"Bac ES"
"7";"Le griffon";"Chine";"Rome";"Louis XVII";"Suisse";"Neil Armstrong";"1000 ans";"François 1er";"Nanterre";"Hypérion et Rhéa";6;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Espagne";"La Chine";12;"La Loire";"La Tanzanie";4;6;"Taxe";"Les ressources sont limités";"Karl Marx";"Le choc pétrolier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"Un bien dont le prix ne peut pas varier";8;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Molière";"Cosette";"Naples";"La lettre à Élise";"Un peintre";4;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des complexes";"6 ème";"Multiplier une constante par une fraction ayant 0 au numérateur";7;6;"Brésil";"La pétanque";"Le volley-ball";"300 points";"Bleue";"Les attaquants";16;5;1896;75;4;"Une femme";"L1";"Bac S"
"8";"Le sphinx";"Allemagne";"Bruxelles";"Louis XVII";"France";"Yuri Gagarine";"1000 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";5;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"La Chine";24;"La Volga";"Le Monténégro";6;5;"Taxe";"Les ressources sont limités";"Karl Marx";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse du prix du baril de pétrole";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";"Le chat botté";"Un dé";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"Don Giovanni";"Un couturier";5;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des rationnels";"6 ème";"La somme de tout les entiers positif (donc de 1 à +∞) est égal à -1/12";7;6;"Italie";"La pétanque";"Le volley-ball";"300 points";"Orange";"Les centraux";24;4;1940;75;5;"Un homme";"L2";"Bac S"
"9";"Le griffon";"Allemagne";"Rome";"Napoléon II";"Angleterre";"Yuri Gagarine";"1000 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";8;"Cuba";"Les maoris";"Le pôle sud";"La Turquie";"L'Allemagne";"L'Allemagne";24;"Le Danube";"La Tanzanie";6;8;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Réserve de valeur";"La hausse du prix ne modifie pas la quantité consommée";7;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Pilgrim";"Voltaire";"Cosette";"Florence";"Fidelio";"Un compositeur d’opéra";6;"exponentielle";"E = mc^2";"La vitesse de la lumière dans le vide";"Galilée";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des réels";"8 ème";"Étudier la fonction √x sur ]-∞ à 0]";6;4;"Italie";"La pétanque";"Le volley-ball";"400 points";"Bleue";"Les défenseurs";16;5;1903;75;4;"Un homme";"L2";"Bac S"
"10";"Le sphinx";"Angleterre";"Rome";"Napoléon";"Angleterre";"Yuri Gagarine";"1000 ans";"Louis XIV";"La Sorbonne";"Cronos et Rhéa";7;"Cuba";"Les maoris";"Le pôle nord";"La Russie";"L'Allemagne";"La Chine";32;"Le Danube";"La Tanzanie";6;7;"Taxe";"Les ressources sont limités";"Adam Smith";"Le Krash boursier";"Un prix";"L’intérêt personnel et les prix";"La hausse des taxes";"La valeur de la meilleure opportunité que l’étudiant ne prend pas pour faire ses études";"Redistributif";"La hausse du prix ne modifie pas la quantité consommée";8;"Le renard";"Le Petit Poucet";"Une toupie";"Jean-Baptiste";"Rossinante";"Voltaire";"Cosette";"Vérone";"l’hymne à la joie";"Un compositeur d’opéra";6;"exponentielle";"Le mur du son est mesuré à Mach 1";"La vitesse de la lumière dans le vide";"Nicolas Tesla";"La fission d’atomes d’uranium";"Gausse et Laplace";"L'ensemble des rationnels";"8 ème";"Une courbe ayant une ordonnée donnée pour 2 abcisses";6;5;"Italie";"La pétanque";"Le volley-ball";"300 points";"Verte";"Les centraux";16;4;1940;75;6;"Un homme";"L3";"Bac S"
